baths,baths_full,baths_half,beds,garage,lot_sqft,sold_date,sold_price,sqft,stories,type,year_built,is_price_reduced,list_date,list_price,listing_id,city,lat,lon,line,postal_code,state,state_code,price_reduced_amount,property_id,basement,big_lot,big_yard,carport,central_air,central_heat,city_view,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,open_floor_plan,park,ranch,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,two_or_more_stories,updated_kitchen,view,views,washer_dryer
2.0,1.0,0.0,3.0,2.0,9101.0,2024-01-12,262500,1634.0,1.0,single_family,1960.0,False,2023-11-29T19:06:25.000000Z,258800,2962052017,Lincoln,40.824586,-96.627052,6825 Orchard St,68505,Nebraska,NE,0.0,7392900615,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3.0,1.0,0.0,3.0,2.0,8477.0,2024-01-12,260000,1900.0,1.0,single_family,1995.0,False,2023-10-30T05:17:45.000000Z,260000,2960980406,Lincoln,40.842161,-96.735113,2843 NW 9th St,68521,Nebraska,NE,3000.0,7969930137,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1.0,1.0,0.0,3.0,1.0,10454.0,2024-01-12,187000,1076.0,1.0,single_family,1956.0,False,2023-11-22T20:41:41.000000Z,195000,2961927354,Lincoln,40.820467,-96.638427,6031 Vine St,68505,Nebraska,NE,0.0,8275547429,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
1.0,1.0,0.0,2.0,1.0,1307.0,2024-01-12,135000,720.0,1.0,townhomes,1976.0,False,2023-12-18T06:19:47.000000Z,135000,2962612282,Lincoln,40.869568,-96.683286,5810 Enterprise Dr,68521,Nebraska,NE,0.0,8728854388,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,1.0,0.0,4.0,2.0,6800.0,2024-01-12,320000,2350.0,1.0,single_family,2002.0,False,2023-11-15T22:57:05.000000Z,320000,2961718203,Lincoln,40.732244,-96.695514,1901 Chloe Ln,68512,Nebraska,NE,10000.0,8511074482,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
3.0,1.0,0.0,4.0,2.0,8985.0,2024-01-12,328350,2740.0,2.0,single_family,1969.0,False,2023-10-19T14:51:34.000000Z,330000,2960689385,Lincoln,40.760236,-96.685049,2511 Winchester St S,68512,Nebraska,NE,0.0,8053708531,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
2.0,1.0,1.0,2.0,1.0,4751.0,2024-01-12,203000,950.0,1.0,single_family,1926.0,False,2023-11-14T16:06:40.000000Z,210000,2961629439,Lincoln,40.790606,-96.681461,2741 Ryons St,68502,Nebraska,NE,0.0,7505474027,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
4.0,3.0,1.0,3.0,2.0,11326.0,2024-01-12,520000,2818.0,2.0,single_family,1981.0,False,2023-11-01T05:25:09.000000Z,499000,2961056940,Lincoln,40.777324,-96.674478,3531 S Hope Ct,68502,Nebraska,NE,0.0,8350013892,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
5.0,5.0,0.0,5.0,3.0,9583.0,2024-01-11,737000,3908.0,2.0,single_family,2017.0,False,2023-11-10T20:30:34.000000Z,749900,2961536972,Lincoln,40.734094,-96.630523,7612 S 66th St,68516,Nebraska,NE,0.0,8519315665,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,2.0,0.0,3.0,2.0,10454.0,2024-01-11,300000,1956.0,1.0,single_family,1974.0,False,2023-10-20T05:12:37.000000Z,314500,2960721500,Lincoln,40.766094,-96.636567,6201 Oakridge Dr,68516,Nebraska,NE,400.0,7525447869,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
